"","AS","BA","BB","BC","CA","CR","FC","FV","GB","KC","MC","ML","OF","PC","PR","PT","SB","SC","SH","SL","TB","WC","WF","WH"
"locus808",0.1667,0.1875,0,0.3636,0.2143,0.1667,0.2222,0.0455,0.0625,0.5,0,0.3889,0.0625,0,0.1111,0.1667,0.125,0.3333,0.0833,0.1667,0.35,0,0.0455,0
"locus809",0.125,0,0.15,0,0,0.0833,0,0.3182,0.0625,0,0.0625,0,0.1875,0.25,0.2222,0.3333,0.1875,0.2778,0,0.1111,0,0.05,0.0455,0
"locus810",0,0,0.05,0,0,0,0,0.0909,0,0,0,0,0.0625,0.0417,0.0556,0,0,0,0,0,0.05,0.25,0.0455,0
"locus811",0.0417,0,0,0,0.1429,0.0833,0,0.0455,0,0.35,0.125,0.3889,0,0.0417,0.2222,0.1667,0,0,0.0833,0.2778,0,0,0.0455,0.0833
"locus812",0.0417,0.3125,0.05,0,0.5,0.4167,0.3333,0.1364,0,0.1,0.375,0.0556,0.1875,0.2917,0,0,0.375,0,0.25,0.3333,0.05,0.45,0.4545,0.4167
"locus813",0,0.0625,0,0,0,0.0417,0,0,0,0.25,0,0.0556,0,0,0,0,0,0,0,0,0.05,0,0,0.125
"locus814",0.0417,0.0625,0.15,0.0455,0,0,0,0,0,0,0.0625,0,0.0625,0.125,0.0556,0,0.1875,0,0,0,0,0.05,0,0
"locus815",0.0417,0,0,0.0455,0,0.0417,0.0556,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0.05,0.1364,0.0833
"locus816",0.2083,0.375,0.4,0.5,0.3571,0.125,0.5,0.5,0.375,0.45,0.4375,0.3889,0.4375,0.5,0.2222,0.5,0.4375,0.1667,0.5,0.2222,0.35,0.45,0.4545,0.5
"locus817",0,0,0,0.0455,0.2143,0,0.0556,0,0.0625,0,0,0,0.0625,0.0417,0.0556,0,0,0,0,0,0.05,0.2,0.0909,0
"locus818",0.1667,0.375,0.3,0.4545,0.2857,0.0417,0,0.2273,0.4375,0.15,0.1875,0.0556,0.25,0.4167,0.2222,0.5,0.375,0.5,0.25,0.3333,0.3,0.5,0.5,0.0417
"locus819",0.0417,0,0,0.0455,0.0714,0,0,0,0.125,0.1,0,0,0.125,0.0417,0.2222,0,0.0625,0.1667,0,0.0556,0.05,0,0.0455,0.0417
"locus820",0.25,0,0.05,0.4545,0,0,0.2222,0.2727,0.125,0.2,0.25,0.1667,0.1875,0.0417,0.2222,0.3333,0.25,0.0556,0.25,0.4444,0.2,0.05,0.3636,0.0833
"locus821",0,0,0,0,0,0,0.0556,0.0455,0,0.05,0.1875,0,0.3125,0.0417,0,0.1667,0,0.0556,0,0,0,0,0,0
"locus822",0,0,0.15,0.0455,0,0,0.1111,0.0455,0,0,0.125,0,0.0625,0.0833,0,0,0.25,0,0,0.0556,0.15,0,0,0
"locus823",0,0.4375,0.4,0,0.2857,0.5,0.4444,0.4545,0.4375,0.35,0,0.4444,0.4375,0.375,0.1667,0.1667,0.125,0,0.3333,0.0556,0.1,0.3,0.1818,0.25
"locus824",0,0.125,0.25,0.0455,0,0.0417,0.1111,0.1818,0,0,0.125,0,0,0.0833,0,0,0,0,0.0833,0.2222,0.05,0.05,0.0455,0.0417
"locus825",0.2083,0.125,0.05,0.3636,0.2143,0.0833,0.0556,0,0,0,0.25,0,0.0625,0.125,0,0,0.0625,0,0,0,0.15,0.1,0.0455,0.0417
"locus826",0,0,0,0,0,0,0.0556,0,0,0.15,0,0.2222,0,0.0417,0,0.5,0,0.1667,0,0,0,0,0,0
"locus827",0,0.1875,0,0,0,0.0833,0,0,0,0.05,0,0,0.375,0,0,0,0,0,0,0,0,0,0,0
"locus828",0.125,0.0625,0.2,0,0,0,0,0.1364,0,0,0,0,0.1875,0.0833,0.1667,0,0.0625,0.2778,0,0,0.1,0,0,0
"locus829",0.0833,0.25,0.05,0.0455,0.1429,0.5,0.0556,0.0455,0.1875,0.1,0.0625,0.3889,0,0.0833,0,0.3333,0,0.0556,0,0.0556,0.25,0.15,0.0455,0.0417
"locus830",0.125,0.0625,0.2,0,0,0,0.0556,0.2273,0,0.1,0,0,0.0625,0.25,0,0.1667,0,0.0556,0,0,0,0,0,0
"locus831",0.2083,0.3125,0.4,0.2273,0.5,0.125,0.3333,0.2273,0.125,0.05,0.375,0,0.25,0.4583,0.1667,0.1667,0.25,0.1111,0.5,0.1111,0.25,0.35,0.3182,0.375
"locus832",0.0417,0,0,0.4545,0.0714,0,0,0,0,0.05,0.0625,0.0556,0.0625,0,0,0,0,0,0,0.1667,0.05,0.1,0.0455,0.0417
"locus833",0.1667,0.125,0.15,0.2727,0.0714,0,0.0556,0.1364,0.0625,0.2,0.0625,0.1111,0.125,0.1667,0.0556,0,0,0.3889,0.0833,0.2222,0.2,0.1,0.2727,0.125
"locus834",0.0417,0,0,0.0909,0,0,0.1667,0,0.125,0.05,0.0625,0,0,0.0833,0,0,0.0625,0.1111,0,0,0,0,0,0
"locus835",0.4583,0.4375,0.5,0.3636,0.4286,0.125,0.2222,0.4091,0.1875,0.2,0.4375,0.1667,0.3125,0.4583,0.1111,0.5,0.375,0.2222,0.0833,0.4444,0.35,0.45,0.3636,0.125
"locus836",0.1667,0,0,0.1364,0,0,0,0,0,0,0.0625,0,0,0,0,0,0.0625,0,0.0833,0.0556,0.05,0,0,0.0833
"locus837",0.0417,0,0.1,0,0.5,0.0833,0.4444,0.1364,0,0,0.0625,0,0.125,0.0833,0,0,0,0.1667,0.3333,0,0.2,0.05,0.0455,0.2917
"locus838",0.0417,0.0625,0,0,0,0.0833,0,0,0.125,0.05,0,0.1111,0,0,0,0,0,0.0556,0,0,0.05,0,0,0.0417
"locus839",0.2083,0,0.2,0.0455,0,0.0417,0,0.0455,0,0.05,0.1875,0,0.125,0.1667,0,0.1667,0.125,0.1111,0,0.3889,0.05,0.05,0.4545,0
"locus840",0.3333,0.3125,0.45,0.3636,0.3571,0.3333,0.2222,0.3636,0.25,0.1,0.4375,0.0556,0.3125,0.375,0.2778,0.5,0.3125,0.3889,0.3333,0.3333,0.4,0.35,0.3636,0.25
"locus841",0.0833,0.0625,0.05,0.1364,0.1429,0.125,0,0,0,0.15,0,0.1667,0,0.0417,0,0,0,0,0,0,0.15,0.05,0.0909,0.0417
"locus842",0,0.125,0.05,0.0455,0,0,0,0.1364,0,0.05,0.125,0.1667,0.125,0,0,0,0.0625,0.0556,0.1667,0,0,0,0.0455,0.1667
"locus843",0.0417,0,0.1,0.0455,0,0,0,0,0,0,0,0,0,0.0417,0,0,0.0625,0,0.1667,0.0556,0.2,0.05,0,0
"locus844",0.0417,0.0625,0.15,0.0909,0,0.0833,0.2222,0.4091,0.1875,0.1,0,0.1667,0.25,0.125,0.0556,0,0.125,0.2778,0.0833,0.1111,0.2,0.15,0.0455,0.125
"locus845",0.0833,0,0,0.0455,0,0,0,0.0909,0,0,0.0625,0,0,0.0417,0.2222,0,0,0,0,0,0.1,0.05,0,0
"locus846",0.2917,0,0,0.3636,0.0714,0.1667,0.0556,0.0455,0.4375,0,0.125,0,0.125,0,0.3889,0.1667,0.0625,0.0556,0,0.0556,0.2,0.3,0.1818,0.2917
"locus847",0.0417,0,0.1,0,0,0.0833,0,0.3182,0,0,0.0625,0,0,0,0.1667,0.3333,0.0625,0.1667,0,0,0,0.05,0.0455,0
"locus848",0.0417,0,0,0.1818,0,0,0.0556,0,0,0,0,0,0.0625,0,0.1111,0,0,0.1111,0,0,0.3,0.25,0.0455,0
"locus849",0.0833,0.0625,0,0.2273,0.0714,0.125,0,0.1364,0,0,0.0625,0.0556,0.0625,0.0833,0.1667,0.3333,0,0,0,0,0.2,0,0.0909,0.0417
"locus850",0.2083,0.0625,0.25,0.0909,0.2143,0.4583,0.2222,0.0455,0,0.4,0.0625,0.3889,0.25,0.2083,0,0,0.125,0.1111,0,0.4444,0.2,0.05,0.1364,0.1667
"locus851",0,0.0625,0.05,0.0455,0.0714,0,0.1667,0,0,0,0.0625,0,0,0,0,0,0,0.1111,0,0.1667,0,0,0.0455,0
"locus852",0,0,0.05,0.0455,0.0714,0.0833,0,0.0455,0,0,0,0,0.0625,0.0417,0.0556,0,0.0625,0,0,0.2778,0.1,0,0.0455,0
"locus853",0,0.25,0.1,0,0.2857,0.5,0.2778,0.0455,0.0625,0.3,0.1875,0.1111,0.125,0.3333,0,0.1667,0.125,0.0556,0.4167,0,0.2,0.1,0.1818,0.1667
"locus854",0,0,0,0,0.1429,0.0833,0.1111,0,0,0,0.0625,0,0,0,0,0,0,0,0.1667,0.0556,0.05,0,0,0.125
"locus855",0.4167,0.4375,0.25,0.2727,0.2143,0.4583,0.3333,0.2273,0.1875,0.2,0.5,0.3889,0.375,0.3333,0.1111,0.3333,0.25,0.2778,0.4167,0.3889,0.35,0.4,0.2727,0.4583
"locus856",0.0833,0.25,0,0,0,0.125,0,0,0.0625,0,0,0,0.0625,0,0.2222,0,0,0.0556,0,0.1667,0.1,0.25,0,0
"locus857",0,0.0625,0,0.0455,0,0,0,0,0.0625,0,0.0625,0,0,0.2083,0.0556,0.3333,0.125,0.0556,0,0,0.15,0,0.0455,0
"locus858",0.0417,0.4375,0.05,0.4545,0.2143,0.5,0.3333,0.1364,0.3125,0.2,0.125,0.1111,0.25,0.2083,0.4444,0,0.0625,0.0556,0.3333,0.2222,0.1,0.2,0.0909,0.2917
"locus859",0,0.0625,0.05,0,0,0.125,0.1111,0.0909,0,0.15,0,0.1111,0,0.125,0,0.3333,0.0625,0,0.25,0.0556,0,0,0,0.0417
"locus860",0.125,0,0.05,0,0.0714,0,0,0.0455,0.0625,0,0,0.0556,0.125,0.0417,0.3333,0,0.0625,0.2222,0,0.3889,0.05,0.15,0.1364,0
"locus861",0.0417,0,0.3,0.0455,0,0.0417,0.1667,0.1364,0.0625,0.15,0.0625,0.1667,0.125,0.125,0,0,0.25,0.2222,0,0.0556,0.15,0.4,0.0455,0.0417
"locus862",0.125,0,0.15,0.0909,0,0.0417,0,0,0,0,0,0,0.1875,0.0833,0,0,0,0,0,0,0.05,0,0,0
"locus863",0,0,0.15,0.0455,0.0714,0,0.0556,0,0.125,0,0,0,0,0.0417,0.0556,0,0,0.0556,0,0,0.05,0.05,0.1364,0.0417
"locus864",0.0833,0,0.05,0,0.1429,0,0,0.0455,0,0.05,0,0,0.125,0.0417,0,0.1667,0.0625,0,0,0.1667,0,0,0.0455,0.0833
"locus865",0,0.125,0.05,0,0,0.125,0,0,0.25,0.4,0,0.3889,0,0.0417,0.1667,0.1667,0,0.0556,0,0.1111,0.1,0,0,0
"locus866",0.0417,0.0625,0,0.0455,0,0.0833,0,0,0,0.05,0,0.0556,0,0.0417,0,0,0,0,0,0.3889,0.05,0,0,0
"locus867",0.1667,0.1875,0.1,0.1364,0,0.2083,0.1111,0.1364,0.0625,0.15,0.25,0.2222,0.1875,0.25,0,0.3333,0.0625,0.1111,0.1667,0.1111,0.15,0.05,0.0455,0.0417
"locus868",0.0417,0,0.05,0.0455,0.0714,0.0417,0.1111,0.0909,0,0,0.0625,0,0,0.125,0,0,0.125,0,0,0,0,0.1,0,0.1667
"locus869",0.125,0.0625,0,0,0.0714,0,0.0556,0,0.0625,0.05,0,0.0556,0,0.0833,0,0,0,0,0.1667,0,0.15,0,0.3636,0
"locus870",0.1667,0.5,0.45,0.2727,0.0714,0.1667,0.1111,0.2727,0.375,0.2,0.0625,0.2222,0.3125,0.125,0.2222,0.5,0.25,0.1667,0,0,0.2,0.1,0.0909,0.0417
"locus871",0,0.0625,0,0,0.4286,0.2917,0.1667,0,0,0,0,0,0,0,0,0,0,0.0556,0,0,0,0,0.0455,0.2917
"locus872",0.0417,0.0625,0.05,0,0,0.0417,0.1111,0.0455,0.0625,0.15,0.0625,0,0.125,0,0.0556,0,0,0.1111,0.0833,0,0.1,0.1,0,0.0833
"locus873",0.125,0,0.05,0.2273,0,0,0.1111,0.0909,0.0625,0,0,0.0556,0.125,0.1667,0.1667,0,0.125,0.0556,0.25,0.1111,0,0.4,0,0.125
"locus874",0.0417,0,0,0.0455,0.1429,0.125,0.2222,0.0455,0.1875,0,0.0625,0.0556,0,0.0833,0,0,0.0625,0,0,0.0556,0,0,0,0.3333
"locus875",0.1667,0,0,0.1364,0.0714,0.0417,0.0556,0.0909,0.1875,0.05,0,0,0.125,0,0.1111,0.3333,0.125,0.1111,0,0,0.15,0.05,0.0455,0.0417
"locus876",0.0417,0.125,0.1,0.1818,0.2143,0.0417,0.0556,0.0909,0.1875,0.2,0,0.1667,0.125,0.125,0,0,0,0.1111,0.0833,0.0556,0.1,0,0.0909,0.0833
"locus877",0.0417,0.0625,0.1,0,0,0.0417,0.2778,0.1818,0.0625,0.05,0.0625,0.0556,0,0.2083,0,0,0.25,0,0,0,0,0,0.1364,0.2083
"locus878",0,0.0625,0.05,0,0,0,0,0.0909,0,0,0,0.0556,0,0.0417,0.1111,0,0,0.0556,0.0833,0.1667,0.05,0,0.0455,0.0417
"locus879",0.0833,0,0.05,0,0,0.0417,0,0.0455,0,0,0,0,0.125,0,0,0,0.0625,0,0,0,0,0,0.0909,0
"locus880",0,0,0.05,0,0,0.0833,0.0556,0.0455,0.125,0,0,0,0.0625,0,0.2778,0,0,0,0,0,0,0.05,0.0909,0.0833
"locus881",0,0.3125,0.1,0,0.2143,0.0833,0.1667,0,0,0.5,0.0625,0.3333,0.0625,0.1667,0,0,0.125,0,0.1667,0.4444,0.05,0.05,0.0455,0.0833
"locus882",0,0.125,0,0,0.2143,0.1667,0,0,0,0,0.125,0,0.125,0,0,0.1667,0.125,0,0,0,0,0.05,0.1364,0.0417
"locus883",0.0417,0,0,0,0,0.125,0.1111,0,0,0.2,0,0,0,0,0.1111,0,0,0,0,0,0,0.1,0,0
"locus884",0,0,0.15,0,0,0,0,0,0,0.05,0,0,0,0.125,0.0556,0,0.0625,0,0,0,0,0.1,0.0455,0
"locus885",0.0417,0,0,0,0,0.0833,0.0556,0.0909,0.0625,0,0,0,0.0625,0,0,0,0,0.1111,0,0,0,0.1,0,0
"locus886",0.0833,0,0,0.0455,0,0,0,0.0455,0.125,0,0.0625,0,0,0,0,0,0.0625,0.1111,0.0833,0,0.05,0,0,0
"locus887",0,0,0,0,0.3571,0.4583,0.3889,0,0,0.3,0,0.5,0,0.0833,0,0,0,0.0556,0,0.0556,0,0,0.1364,0.4167
"locus888",0.0417,0.125,0.25,0,0,0.0417,0,0.1818,0,0,0.0625,0,0.125,0.0417,0.0556,0,0,0,0.1667,0.0556,0,0,0.0455,0.0417
"locus889",0.0417,0.4375,0.2,0.1818,0.4286,0.25,0.2778,0.1364,0.1875,0.2,0.125,0.2778,0.4375,0.2083,0.1667,0.5,0.3125,0.2778,0.0833,0.0556,0.05,0,0.1818,0.0417
"locus890",0.25,0.0625,0.15,0.2727,0.0714,0.0417,0.1111,0.0455,0.0625,0,0.0625,0.1111,0.1875,0.0417,0.3889,0.1667,0.0625,0.1111,0.0833,0.0556,0.05,0.1,0.0455,0
"locus891",0.0833,0,0,0,0,0,0,0,0.0625,0.1,0,0,0.125,0,0.2778,0,0.0625,0.2222,0,0.0556,0.05,0,0.0909,0
"locus892",0.25,0.375,0.25,0.3636,0.4286,0.5,0.3889,0.4545,0.5,0.25,0.4375,0.4444,0.5,0.375,0.4444,0,0.3125,0.3333,0.25,0.1667,0.5,0.5,0.4091,0.4583
"locus893",0.4167,0.0625,0.5,0.3636,0.0714,0.2083,0.1111,0.4545,0.25,0,0.4375,0,0.25,0.2917,0.2222,0.3333,0.125,0.5,0.25,0.2778,0.4,0.1,0.2727,0
"locus894",0.0833,0.0625,0.15,0.0455,0,0,0.1111,0,0,0.2,0,0,0.1875,0,0,0.5,0.0625,0,0.1667,0,0.05,0.05,0,0
"locus895",0,0,0.1,0,0.0714,0,0,0.0455,0,0.2,0,0.0556,0,0.0417,0,0,0,0.0556,0,0.1111,0.05,0,0.0455,0
"locus896",0.0833,0,0,0.1818,0,0,0.3333,0,0,0,0,0,0,0,0,0.1667,0,0,0,0.3889,0.15,0,0.0909,0.0417
"locus897",0,0.1875,0,0.3182,0.1429,0.4167,0.3333,0.0909,0.0625,0,0,0.3333,0,0.125,0,0,0.0625,0.0556,0.1667,0.0556,0.05,0.1,0.3182,0.4167
"locus898",0.0833,0,0,0.0909,0.0714,0,0.0556,0.0455,0,0,0,0,0,0.125,0.0556,0,0,0.0556,0,0,0,0.05,0,0
"locus899",0,0,0.05,0,0,0.0417,0.0556,0,0.125,0.05,0,0,0.1875,0.1667,0.0556,0,0,0.0556,0,0.2778,0.05,0.05,0,0.0417
"locus900",0.0417,0.125,0.1,0.0455,0,0.1667,0.0556,0.0455,0,0,0,0.1111,0,0,0,0,0.0625,0,0,0.2222,0,0.05,0,0
"locus901",0.0833,0,0.05,0,0.0714,0.0833,0.0556,0.1364,0,0.25,0.0625,0.0556,0,0.1667,0,0.5,0.1875,0.0556,0.1667,0.0556,0.15,0.1,0,0.0417
"locus902",0.125,0.1875,0.15,0,0.2143,0.125,0.0556,0,0.125,0.1,0.0625,0.0556,0.0625,0.0417,0.0556,0,0.125,0,0.0833,0,0,0.15,0,0.2083
"locus903",0.125,0.125,0,0.0455,0,0.0417,0.0556,0.0909,0.1875,0.05,0.0625,0.1667,0.25,0,0.2778,0.1667,0.0625,0.1111,0.0833,0.0556,0.15,0.1,0.0455,0
"locus904",0,0,0,0,0,0,0,0.1818,0.0625,0.05,0.0625,0,0.125,0,0,0.1667,0,0,0,0,0.05,0.1,0,0
"locus905",0.375,0.0625,0.1,0.1818,0,0.1667,0,0.2727,0.1875,0.1,0.0625,0,0.3125,0.125,0.2222,0.3333,0.1875,0.2222,0,0.1667,0.2,0.15,0.1364,0.0833
"locus906",0,0,0.05,0,0.0714,0.0833,0.1667,0.0455,0,0.1,0.0625,0,0.0625,0.0417,0.0556,0,0,0.1667,0,0,0,0,0,0.0417
"locus907",0.0833,0.0625,0.25,0,0,0,0.0556,0.1818,0,0,0,0,0.0625,0.25,0,0,0.0625,0.1667,0,0.1111,0.1,0.2,0,0.0417
"locus908",0.2083,0.0625,0.15,0.1364,0,0,0.0556,0.0909,0,0,0.0625,0,0.1875,0.0417,0.1111,0,0.0625,0.2222,0,0.1111,0.05,0.1,0,0
"locus909",0.0417,0.0625,0,0,0,0,0.1111,0,0,0.05,0.0625,0,0,0.0833,0,0,0.0625,0,0.0833,0,0,0,0,0
"locus910",0.2083,0.5,0.25,0.2273,0.4286,0.3333,0.2778,0.2273,0.1875,0.05,0.25,0.1667,0.375,0.375,0,0.5,0.3125,0.2222,0.25,0.1111,0.35,0.2,0.2727,0.5
"locus911",0.125,0,0,0.0455,0,0,0,0,0.125,0,0,0.0556,0,0,0.1667,0,0.0625,0,0,0.3333,0,0,0,0
"locus912",0.2083,0.0625,0.05,0.1364,0,0.0417,0.1111,0,0,0,0.0625,0.1667,0.0625,0.0417,0,0.1667,0.1875,0.1667,0,0,0,0.3,0.0909,0.0417
"locus913",0.1667,0,0,0,0,0,0,0.0455,0,0,0.0625,0,0,0.0417,0.0556,0,0.1875,0,0,0,0.15,0.1,0.3182,0
"locus914",0,0,0.25,0.2273,0,0,0,0.2727,0,0.1,0,0,0.125,0.4583,0,0.3333,0.5,0.1667,0,0,0,0.45,0,0
"locus915",0,0,0.05,0,0,0.0833,0,0,0,0,0,0.0556,0,0,0,0,0,0,0.1667,0.3889,0,0,0,0
"locus916",0.0417,0.25,0.35,0.3182,0.4286,0.25,0.4444,0.2273,0.0625,0.2,0.25,0.1111,0.5,0.2917,0.1111,0.5,0.1875,0.5,0.5,0.0556,0,0.5,0.1818,0.375
"locus917",0.0417,0.25,0.4,0.0455,0.0714,0.4167,0,0.0909,0.25,0.35,0.0625,0.2222,0.375,0.3333,0,0,0.25,0.2778,0,0,0.1,0.3,0,0.0417
"locus918",0.4167,0,0,0.2273,0,0,0,0.0455,0,0,0,0,0.0625,0,0.0556,0,0,0,0.0833,0.1667,0.05,0.05,0.0455,0
"locus919",0,0,0,0.0455,0.0714,0.125,0,0.0909,0,0.05,0,0.0556,0.125,0,0,0.3333,0,0,0,0.2222,0.25,0,0.1364,0.0417
"locus920",0,0,0.1,0,0,0,0.0556,0.1818,0,0.1,0.1875,0,0,0.125,0.3333,0,0.1875,0.1111,0,0,0.05,0.2,0.0455,0.125
"locus921",0,0,0.2,0,0,0,0,0.0455,0,0.05,0,0,0.1875,0.0833,0,0,0,0.1111,0,0,0,0,0,0
"locus922",0.0833,0.125,0,0,0.1429,0.0833,0,0,0,0.05,0,0,0.125,0.1667,0,0,0.0625,0.0556,0.25,0,0.1,0,0.1364,0.2083
"locus923",0.2083,0,0.1,0,0,0,0,0,0,0,0,0,0.0625,0.0833,0.1111,0,0.125,0,0,0,0,0,0.0909,0
"locus924",0,0.0625,0,0,0,0.2917,0,0,0,0,0,0.1111,0,0.0417,0,0,0,0,0,0,0.05,0,0,0
"locus925",0,0.25,0.1,0.2727,0.2143,0.2917,0.3333,0,0.125,0.15,0,0.2222,0.0625,0.0833,0.1667,0.1667,0.1875,0,0,0.3333,0.05,0.1,0,0.4583
"locus926",0.0417,0,0,0.1818,0,0,0,0,0,0.05,0,0.0556,0.0625,0,0,0.1667,0,0,0,0,0.1,0.05,0,0.0417
"locus927",0.0833,0.125,0.3,0.0909,0,0.0833,0.1111,0.0909,0,0.1,0,0.0556,0.125,0.1667,0,0,0.1875,0.2222,0.25,0.0556,0.25,0.15,0.1818,0.125
"locus928",0.0833,0,0.15,0,0,0,0.1111,0.1364,0,0,0.25,0,0.125,0,0.2222,0,0,0.1667,0,0,0,0,0,0
"locus929",0.125,0.0625,0.05,0,0,0.0833,0,0.1364,0,0.05,0,0,0.0625,0.25,0.0556,0,0.0625,0.0556,0,0,0,0,0.0455,0.0833
"locus930",0.3333,0.1875,0.25,0.4545,0,0,0.1667,0.2727,0.375,0.05,0,0.0556,0.1875,0.2083,0.5,0.3333,0.125,0.3333,0,0.1111,0.25,0.4,0.4091,0.0833
"locus931",0,0.1875,0,0,0,0.0417,0,0,0.125,0.15,0.1875,0.0556,0.125,0,0,0,0,0,0,0.0556,0,0.05,0,0.125
"locus932",0.0417,0.0625,0,0,0,0.2083,0,0.0455,0,0,0,0,0,0,0.0556,0.1667,0,0,0,0.2222,0.05,0,0,0
"locus933",0.0417,0,0.05,0.0455,0,0.125,0,0.0455,0,0.05,0,0,0.1875,0.0833,0,0,0.1875,0,0,0,0,0,0,0
"locus934",0.25,0.125,0.3,0.4545,0.0714,0.4167,0.1111,0.3182,0.3125,0.35,0.4375,0.3333,0.5,0.2083,0.3333,0,0.4375,0.3333,0.3333,0.0556,0.25,0.25,0.2727,0.4583
"locus935",0.2917,0.125,0,0.0909,0.0714,0.25,0.1667,0.0909,0.125,0.2,0.0625,0.0556,0.125,0.0417,0.1667,0.1667,0.125,0.2222,0.1667,0.4444,0.1,0.15,0.1364,0.0417
"locus936",0.0417,0,0,0,0,0,0,0.0909,0.1875,0,0,0,0,0.0417,0,0.1667,0.0625,0.2778,0,0,0,0,0,0
"locus937",0,0,0,0,0.1429,0,0,0,0,0,0,0,0,0,0.3333,0,0.0625,0,0,0,0.05,0,0.0455,0.0833
"locus938",0.5,0.125,0.4,0.4091,0,0.2083,0.1111,0.2727,0.3125,0.1,0.5,0.1111,0.375,0.3333,0.3889,0.1667,0.3125,0.3333,0.25,0.4444,0.2,0.2,0.2273,0.0833
"locus939",0.0417,0,0.05,0.0455,0,0,0,0,0,0,0,0,0.125,0.0417,0,0,0.1875,0,0.1667,0,0,0,0,0
"locus940",0.125,0.1875,0.05,0.0455,0.5,0.2917,0.2222,0.0909,0,0.4,0,0.1667,0,0.0833,0,0.1667,0.125,0.3333,0,0.0556,0.05,0,0.0909,0.4167
"locus941",0.125,0,0,0.1364,0.1429,0,0,0.0455,0.125,0,0,0.2222,0.0625,0,0.3333,0,0,0,0,0.2778,0.45,0,0.1364,0
"locus942",0.0417,0.0625,0.45,0.0455,0.0714,0.125,0.2778,0.1364,0,0.05,0.0625,0,0.0625,0.25,0.1111,0,0.125,0,0.1667,0,0.3,0.3,0.0455,0.0833
"locus943",0,0,0.05,0,0,0,0,0.0909,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0
"locus944",0,0,0,0,0.4286,0.4583,0.1111,0,0,0,0.0625,0,0.0625,0,0,0,0.0625,0,0.3333,0.0556,0,0,0.4091,0.3333
"locus945",0.4583,0.375,0.3,0.5,0.2857,0.3333,0.2778,0.3636,0.375,0.35,0.3125,0.3333,0.5,0.3333,0.4444,0.3333,0.4375,0.3889,0.5,0.4444,0.45,0.4,0.3636,0.2917
"locus946",0,0.125,0,0,0,0.0417,0.1667,0,0,0,0.1875,0.0556,0.1875,0.0417,0,0,0,0,0.1667,0.1667,0,0,0.0455,0.2083
"locus947",0.0833,0.125,0.05,0.2273,0,0.1667,0,0.0909,0.125,0.15,0,0.4444,0.0625,0.1667,0.0556,0.1667,0.1875,0.0556,0.0833,0.0556,0,0,0.0909,0
"locus948",0.4583,0.125,0.05,0.2273,0.1429,0.125,0.2778,0.2273,0.3125,0,0.25,0,0.25,0.2083,0.3889,0,0.125,0.2778,0.0833,0.4444,0.45,0.05,0.4545,0.1667
"locus949",0.375,0.375,0.35,0.4545,0.4286,0.125,0.1667,0.3182,0.125,0.4,0.4375,0.5,0.375,0.375,0.3889,0.3333,0.375,0.2778,0.1667,0.5,0.35,0.4,0.3636,0.3333
"locus950",0,0,0.1,0,0,0,0.0556,0.0455,0.0625,0,0.25,0,0.0625,0.0833,0.1111,0.1667,0,0,0,0.1111,0.2,0.05,0.0909,0.0417
"locus951",0,0.0625,0,0,0.2857,0.0833,0.1111,0.0455,0.0625,0.4,0,0.3889,0,0,0,0,0,0.0556,0,0,0,0,0.0455,0
"locus952",0,0,0,0.4091,0,0,0.0556,0.0909,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"locus953",0,0,0.15,0,0,0,0.0556,0,0.1875,0.1,0.0625,0,0.0625,0.0417,0,0,0.0625,0.1111,0,0,0.1,0,0.0455,0
"locus954",0,0,0,0,0.0714,0,0.2222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4167
"locus955",0.0417,0.125,0.15,0.0909,0.0714,0.125,0,0.1364,0,0.05,0,0,0.125,0.0833,0,0.1667,0.125,0,0,0,0,0.1,0,0
"locus956",0.0833,0,0.2,0,0,0,0.1111,0.2727,0.375,0,0.125,0.2222,0.0625,0.2917,0.3889,0.3333,0.125,0.2222,0,0.0556,0.05,0.1,0.2273,0
"locus957",0.0833,0.0625,0.05,0.0455,0,0.0417,0.1111,0.1818,0.125,0.05,0.0625,0.0556,0.1875,0.125,0,0.1667,0,0,0.0833,0.1667,0,0.1,0,0.0833
"locus958",0,0.25,0,0.2273,0.2143,0.4167,0.2778,0.0909,0.4375,0.5,0.3125,0.2778,0.1875,0.0417,0.3889,0,0.0625,0,0.25,0.1667,0.05,0.05,0.2727,0.1667
"locus959",0,0,0.05,0.0455,0,0,0.2222,0,0,0,0.1875,0,0,0.0833,0.0556,0.1667,0.1875,0.0556,0.0833,0,0,0.05,0,0
"locus960",0,0.125,0,0.0455,0.1429,0.2917,0,0,0,0.3,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0.125
"locus961",0,0.0625,0,0.0909,0.0714,0.0417,0.0556,0.0909,0.0625,0.05,0.125,0,0.125,0,0.0556,0,0.0625,0,0.0833,0.0556,0,0.2,0,0.0417
"locus962",0.2917,0.0625,0.25,0.3182,0.2857,0.125,0.3333,0.2727,0.0625,0.25,0.125,0.1111,0.1875,0.1667,0.4444,0,0.25,0.0556,0.25,0.2222,0.4,0.15,0.4091,0.25
