"","AS","BA","BB","BC","CA","CR","DA","FC","FV","GB","KC","MC","ML","OF","PC","PM","PR","PT","SB","SC","SH","SL","TB","WC","WF","WH"
"locus1664",0.0833,0.0625,0.3,0.1818,0.0625,0.0417,0,0.25,0.1667,0,0.1,0.6667,0,0.0833,0.25,0,0,0,0,0.4,0.4,0.0455,0,0.1429,0.0455,0.1364
"locus1665",0.9444,0.8,0.7857,0.9444,0.9286,0.9167,0.75,0.75,0.6,0.75,0.9545,0.875,1,0.9375,0.7857,0.875,0.6667,0.5,0.7143,0.6667,0.6667,0.8571,0.9375,0.5,0.9375,0.6667
"locus1666",1,1,1,1,1,0.95,1,1,0.9545,0.5625,0.4,0.9375,1,1,1,1,1,1,1,1,1,1,0.9,0.9444,0.9545,1
"locus1667",0.2083,0.2857,0.3571,0.2143,0.3,0.2083,0.5,0.4444,0.3636,0.3571,0.2143,0,0.25,0.4375,0.375,0.5,0.1667,0.1667,0.1667,0.5,0.1667,0.375,0.0625,0.5,0.15,0.375
"locus1668",0.8333,1,1,1,1,1,0.5,1,0.9545,1,1,1,1,0.9375,0.9167,0.0833,1,1,1,0.9167,1,1,0.95,1,1,1
"locus1669",0.7273,0.5625,0.5556,0.7727,0.8333,0.5909,1,0.8125,0.6364,0.625,0.8182,0.5833,0.9444,0.5,0.5833,0.9091,0.625,0.5,0.625,0.6667,0.6667,0.65,0.65,0.55,0.6,0.8182
"locus1670",0.125,0.0625,0,0.3333,0,0,0,0.0556,0.0455,0.3125,0,0.25,0.1,0,0,0.1364,0,0,0.0625,0,0.2143,0,0.2778,0,0.0455,0.0833
"locus1671",0.8182,1,1,0.9545,0.9444,0.9583,1,0.9444,1,1,0.9091,0.875,0.95,1,0.9583,1,0.9444,0.8333,1,1,0.9286,0.9545,0.95,1,1,1
"locus1672",1,0.9375,1,0.9091,1,1,0.9,1,1,0.9375,0.9545,1,1,1,1,0.4375,1,1,1,0.9444,1,0.6667,0.9,1,0.9545,1
"locus1673",1,1,1,1,1,1,1,1,0.95,0.875,1,1,1,1,0.875,1,0.9375,0.8333,0.9375,0.9444,1,0.8333,1,0.95,1,0.9583
"locus1674",0.7273,0.9375,0.95,0.9545,0.9444,1,0.5,0.875,0.7727,1,0.9545,1,1,0.5,0.8333,0.5,1,1,0.8125,0.3333,1,1,0.8,1,0.7273,0.7727
"locus1675",0.3125,0.6667,0.4444,0.3,1,0.9,0.875,0.75,0.65,0.6667,0.7222,0.5,1,0.5,0.5833,0.9444,0.2143,0.25,0.5,0.5,0.4286,0,0.3571,0.5,0.5,0.8125
"locus1676",0.9583,0.8571,0.95,0.9091,1,0.9583,1,0.9444,0.9545,0.9375,1,1,1,0.9375,0.875,0.9545,1,1,0.9375,0.9444,1,0.875,0.95,0.95,1,1
"locus1677",1,0.8571,0.95,0.95,0.7778,0.7917,1,0.875,0.9545,1,0.6,1,0.9444,1,0.9583,0.9545,1,1,0.9375,0.8333,1,1,1,0.9,0.9545,0.9583
"locus1678",1,1,0.95,0.9091,0.8333,1,1,1,1,0.875,0.9545,0.9375,1,0.9375,0.9167,0.9545,0.8889,1,1,1,1,1,1,1,0.9091,0.875
"locus1679",0,0,0,0,0.0556,0.1364,0,0.0556,0.0455,0,0,0,0,0.0714,0,0,0,0,0.0625,0,0,0,0.05,0,0,0.0833
"locus1680",0.7917,1,1,0.9545,1,1,1,0.9444,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7778,0.85,1,0.9545,1
"locus1681",0.9583,0.8125,0.8333,1,1,0.9583,1,1,0.8636,1,1,1,1,0.8571,0.75,1,1,1,0.7857,0.875,1,1,1,0.7778,0.8636,1
"locus1682",0.6818,1,0.9167,1,1,1,0.9,0.9444,0.7222,0.875,1,1,0.95,0.8333,0.7727,1,0.6667,1,0.8571,0.7857,0.7857,0.6875,0.7222,1,1,1
"locus1683",0,0,0.05,0.0455,0,0,0,0.0556,0.0909,0,0,0.125,0.05,0,0,0,0.0556,0,0,0,0.2857,0,0,0.05,0.0455,0
"locus1684",0.5833,0.4167,0.6667,0.5625,0.5714,0.5455,1,0.1875,0.5909,0.4286,0.3,0.4286,0.3333,0.5,0.3333,0.85,0.7778,0.5,0.4286,0.4167,0.2857,0.6667,0.3571,0.55,0.3636,0.5625
"locus1685",0.9,0.875,0.35,1,1,0.8333,1,0.8125,0.5,0.7857,0.6818,0.7,0.875,0.7143,0.5417,0.9545,1,0.3333,0.625,0.75,0.5,0.5625,0.75,0.625,0.8889,0.7727
"locus1686",0.25,0.5,0.3125,0.3333,0.4444,0.35,0.5,0.5,0.5556,0.6429,0.65,0.6,0.5,0.3571,0.55,0.5,0.5,0.25,0.4286,0.375,0.5,0,0,0.3333,0.1,0.2273
"locus1687",1,0.4286,1,0.75,NA,0.5,1,0.8889,1,1,0.6818,0.5625,0.8333,1,0.9583,1,1,1,1,1,0.9286,1,0.8333,0.9,0.95,1
"locus1688",0.7273,0.5714,0.8571,0.65,0.7778,0.7917,0,0.6111,0.5,0.6,0.35,0.5,0.5,0.5,0.5833,0.05,0.4444,0.8333,0.9375,0.4375,0.5714,0.875,0.65,0.5625,0.2727,0.6111
"locus1689",0.3,0.0625,0.05,0.0556,0.6667,0,0,0.2778,0.0455,0.2143,0,0.5,0,0.0625,0,0.25,0.1,0,0.0714,0.25,0.5,0.0455,0.2857,0.25,0.1429,0.35
"locus1690",0.7,0.9375,0.9167,0.8571,1,0.9167,1,1,0.8889,1,1,1,1,0.625,0.9545,1,0.7857,0.8333,0.9167,0.7,0.9286,0.95,0.9444,1,0.9444,0.9167
"locus1691",0.9545,1,0.9375,1,1,1,0.5,0.8889,0.55,0.9375,0.9091,1,1,0.7143,0.8636,0.2222,1,1,0.9286,0.625,1,0.4,0.95,1,0.7778,0.9583
"locus1692",0,0.2143,0.1,0,0.3571,0.55,0,0,0.0909,0,0.7273,0,0.4167,0,0,0,0,0,0,0.1111,0,0,0,0,0.0909,0.0714
"locus1693",1,1,0.9,1,1,1,0.75,1,1,0.9167,1,1,1,1,0.9583,0.4444,1,1,1,0.9444,0.9286,1,1,1,1,1
"locus1694",0.625,0.5625,0.35,0.5,0.8333,0.7083,0,0.5625,0.2727,0.5,0.5909,0.5,0.7222,0.3571,0.6667,0.0909,0.2222,0.5,0.4375,0.3889,0.7,0.5,0.65,0.45,0.5909,0.75
"locus1695",0.875,1,1,1,0.8889,0.6818,1,1,0.9091,1,1,1,0.95,1,0.9091,0.9545,0.9375,1,0.875,1,1,0.9545,1,0.75,0.9545,1
"locus1696",0.1667,0.1875,0.05,0,0.1111,0.1364,0.1,0,0,0.1429,0,0.0625,0.05,0.25,0.0417,0.0909,0,0,0,0.125,0.0714,0.1,0.1,0.0556,0.0909,0.1667
"locus1697",1,1,1,1,1,0.9583,1,1,1,1,1,1,1,1,1,0.5,0.9444,1,1,0.9444,0.9286,1,0.95,0.95,0.9545,1
"locus1698",1,0.9375,1,1,1,0.9167,1,0.8125,1,0.6875,1,1,1,1,1,1,1,1,1,1,0.6429,1,0.95,1,1,0.9167
"locus1699",1,0.875,0.85,1,0.9444,1,1,1,0.9091,1,1,0.9375,1,1,0.9583,0.5625,1,1,0.9375,1,1,0.9545,1,0.95,1,1
"locus1700",1,1,0.95,1,1,1,0.6667,1,1,1,1,1,1,1,0.9583,0.8333,1,0.8333,0.9375,0.9444,1,1,1,1,0.8636,0.9583
"locus1701",0.7778,0.875,0.8571,0.8,0.9444,0.875,0.25,0.9444,0.7857,0.375,0.9545,1,1,0.9286,0.8571,0.5556,0.8889,1,0.8571,0.75,1,1,1,0.75,0.9091,0.9167
"locus1702",0.25,0.9,0.8333,0.8636,0.9,0.9375,0.1,0.875,0.4444,0.25,0.75,0.9286,1,0.75,0.875,0.0909,0.8333,0,1,0.6667,1,0.7778,0.75,0.8333,0.5625,0.75
"locus1703",0.9583,1,1,0.65,0.7857,0.9,1,0.7778,1,1,0.9545,1,1,0.9375,0.875,1,0.9444,1,0.8125,1,0.9167,0.9091,0.7778,0.95,0.5909,0.5
"locus1704",0.8182,1,1,1,1,1,1,1,1,1,1,1,1,0.9375,0.9583,1,0.8333,1,1,1,1,0.9545,1,1,0.9545,1
"locus1705",0.3125,0.1875,0.5556,0.125,NA,0.1,1,0.5,0.4,0.75,0,0.25,0,0.6429,0.4,0.9545,0.1875,0.1667,0.5833,0.6667,0.2,0.3182,0.3125,0.4444,0.4167,0.1
"locus1706",0.7,0.4167,0.35,0.6,0.4375,0.5455,1,0.625,0.45,0.6,0.3125,0.6875,0.25,0.5,0.5417,0.5,0.7143,0.6667,0.5,0.5833,0.5,0.7,0.5,0.5,0.6,0.3333
"locus1707",0.625,0.5,0.8125,0.6364,0,0.1818,0.875,0.4375,0.75,0.75,0.35,0.5714,0,0.6875,0.6364,0.75,0.7778,0.6667,0.75,0.5556,0.5714,0.6818,0.4444,0.65,0.5909,0.2727
"locus1708",0.4583,0.9375,0.8,0.8125,1,1,0.6667,0.9444,0.6364,0.625,0.9545,0.875,0.95,0.6429,0.875,0.85,0.4444,0.8333,0.5833,0.5556,0.9286,0.8333,0.6667,0.8,0.7,0.9167
"locus1709",1,0.9286,0.9444,1,0.6,0.625,1,0.4375,0.8636,1,0.9286,0.7,0.7857,1,1,1,1,1,0.8571,1,0.75,1,1,0.95,0.9167,0.4444
"locus1710",1,0.9375,1,1,0.875,0.9583,1,0.8333,0.9545,1,1,1,0.9,1,1,1,1,0.8333,1,1,0.8571,0.9545,1,1,1,0.9375
"locus1711",0.8636,1,1,0.9091,0.9375,0.8333,1,0.8333,0.9,0.9375,0.95,0.9375,1,0.9286,0.8636,1,0.9444,1,0.75,0.9444,0.8333,0.7273,0.95,1,0.9545,0.875
"locus1712",0.8636,0.875,0.9444,0.8,0.8333,0.9167,1,0.7222,0.9545,1,0.9091,0.9375,0.95,0.875,0.9583,0.9545,0.8333,0.8333,0.8125,1,0.6429,1,1,0.9,0.95,0.9091
"locus1713",1,0.875,0.95,1,0.9444,0.9167,1,1,1,1,0.9545,1,0.85,1,1,1,1,0.6667,1,1,1,1,1,0.95,0.9545,1
"locus1714",1,0.625,1,0.875,0.875,0.6667,1,0.8889,0.9091,1,0.9167,0.5833,0.8333,0.9375,0.8182,1,1,0.75,1,0.8889,0.6429,1,0.4167,0.75,0.9375,0.7143
"locus1715",0.9583,0.875,1,1,0.8333,0.9167,1,1,0.9545,1,0.9091,1,0.9,1,1,1,1,1,1,1,1,1,1,0.75,1,1
"locus1716",0.0833,0.125,0,0.2857,0,0.0417,0,0,0.0455,0.0714,0.0455,0,0,0.3125,0,0.0455,0.0833,0,0.0625,0,0,0,0.25,0,0,0
"locus1717",0.85,0.25,0.8889,0.5833,0.875,0.6818,0.625,0.9375,0.9,0.6875,0.625,0.8571,0.625,0.9167,0.8182,0.9444,0.8333,0.8333,0.9286,0.9286,0.875,0.75,0.7857,0.85,0.85,0.6818
"locus1718",0.9167,1,1,1,1,0.9167,0.9,0.9444,0.9545,1,1,0.9375,1,0.9375,0.9091,1,0.9444,0.8333,0.9375,0.875,0.9286,1,1,0.9,0.9091,0.75
"locus1719",0.8636,0.8571,0.8125,0.9545,0.8571,0.8333,1,0.7857,0.9,0.9167,1,0.875,0.8333,0.875,0.7917,1,0.8889,0.8333,0.9375,0.9444,1,0.7,0.8333,0.95,0.9545,0.7917
"locus1720",0.9,0.875,0.9,0.9545,0.7778,0.9091,1,0.9444,0.8,0.8571,0.8636,0.75,0.9,0.875,1,0.8182,1,0.8333,0.9375,0.8889,1,0.95,1,1,0.9545,0.8333
"locus1721",0.9583,1,1,1,1,1,1,0.9444,0.9091,1,1,1,1,0.9375,0.9167,1,1,0.8333,0.9375,1,0.8571,1,1,0.9,1,0.9583
"locus1722",1,1,0.9,1,1,1,1,0.8889,0.75,0.875,1,1,1,0.9167,0.7917,1,0.9444,1,0.75,0.9444,0.9286,1,0.95,1,0.9545,1
"locus1723",0.25,0.1875,0.05,0.1818,0.0714,0.1875,0,0.25,0.0909,0.1667,0.2,0.1,0.1,0.125,0,0.0455,0,0,0,0.0556,0,0.0625,0.2222,0.0714,0.1111,0
"locus1724",1,0.9375,1,1,0.9167,0.7222,1,0.9444,1,1,0.3333,1,0.95,1,1,1,1,1,1,1,1,1,1,1,0.9545,0.9167
"locus1725",0.5,0.8125,0.75,0.5833,0.9444,0.9583,0.75,0.875,0.7,0.75,0.8182,0.6667,1,0.8,0.8333,0.6429,0.375,0.75,0.75,0.7857,0.8,0.55,0.7778,0.6667,0.5,0.85
"locus1726",0.9,0.6667,0.5625,0.7273,0.6667,0.8333,1,0.8571,0.8,0.9286,0.1429,0.8,0.5,0.75,0.75,1,0.8125,0.75,0.8333,0.9444,0.5,0.5,0.8889,0.85,0.7222,0.8
"locus1727",1,1,1,1,0.5625,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8636,0.7273
"locus1728",0.5,0.9375,1,0.75,1,1,0.9,0.8889,1,1,0.9545,NA,1,1,0.9167,1,0.5833,1,0.875,0.7143,1,0.1875,0.5714,1,0.75,0.875
"locus1729",0.2083,0,0,0.1111,0.125,0,0,0.0556,0.0455,0,0.0455,0,0,0,0.125,0,0,0,0.1875,0.0556,0.2143,0.0455,0.05,0,0.2273,0
"locus1730",0.9583,1,1,0.9545,1,1,1,1,0.9545,1,1,1,1,1,0.875,0.8182,0.8889,1,0.9286,1,1,0.6429,1,1,0.9545,1
"locus1731",1,1,1,0.9545,0.9444,1,1,0.8333,1,1,1,0.9286,1,0.9375,1,1,0.8889,0.8333,0.9375,1,1,1,0.95,1,1,0.9167
"locus1732",0.7917,1,1,0.95,1,1,1,1,0.9091,0.875,1,1,0.9,1,1,0.8636,0.6667,1,0.9286,0.8889,1,0.7727,0.9,1,1,1
"locus1733",0.9167,0.9375,0.95,0.9545,0.9444,0.9583,1,0.8889,0.9091,0.875,0.9545,0.9375,0.85,1,0.8333,1,0.9444,0.8333,0.75,0.9444,1,1,0.85,1,0.8636,0.9545
"locus1734",1,1,1,0.9545,0.9375,0.9583,1,0.8333,0.8333,0.8125,1,1,1,0.875,1,0.9545,0.9444,1,0.9375,0.9444,1,1,0.85,1,0.9545,0.8333
"locus1735",0.9545,0.875,0.95,0.9545,1,0.9091,1,1,1,0.875,1,0.875,1,0.875,0.9167,1,1,1,1,0.8889,1,0.9091,0.95,0.9,0.9545,1
"locus1736",0.9167,0.8571,0.9167,0.9545,1,0.85,1,0.875,0.9545,0.5,0.75,1,1,0.8333,0.9,1,0.9375,0.75,0.7143,0.7222,0.9167,0.9545,1,0.7143,1,0.9583
"locus1737",0,0,0.1,0,0,0,0,0,0.0455,0.0625,0,0,0,0,0.0833,0.0455,0,0,0,0.1667,0,0,0.05,0.15,0,0
"locus1738",0,0.1875,0.2222,0.0455,0,0.0833,0,0,0.2273,0.0625,0.0455,0,0,0.1875,0.1364,0,0.1111,0.5,0.0833,0.0556,0,0.0455,0.05,0,0,0
"locus1739",0.9,0.5833,0.7778,0.4444,0.1667,0.4286,0.75,0.375,0.8333,0.375,0.2857,0.8333,0.5714,0.7143,0.8333,0.5455,0.75,1,0.8571,1,0.1667,0.9545,0.8125,0.7857,0.8125,0.1111
"locus1740",1,0.9375,0.9,0.9545,0.8333,1,1,0.8333,1,0.9375,0.8182,1,0.9444,0.8571,1,1,0.8571,1,0.9375,1,1,0.9545,1,0.95,1,0.95
"locus1741",1,1,0.95,0.8636,1,1,1,1,0.9545,1,1,0.9375,0.85,0.9375,0.8333,1,1,1,0.875,0.9444,0.8571,0.9091,0.9375,1,0.9545,1
"locus1742",0.2083,0,0.15,0.1,0,0,0,0.0556,0.0909,0,0.0909,0,0,0.1875,0.125,0.4545,0,0,0.125,0.1111,0,0.0909,0.05,0.05,0,0.0417
"locus1743",0.8333,1,1,0.85,1,1,1,1,0.9,1,1,1,1,0.875,0.9583,1,0.9375,0.8333,0.9375,1,1,1,1,1,1,1
"locus1744",0.9167,0.9375,0.9,0.8182,0.9444,1,1,0.9444,0.85,1,0.9545,1,0.95,1,0.8333,0.9545,0.8889,0.8333,0.875,1,0.9286,0.8636,0.95,0.8,0.8636,1
"locus1745",0.9545,1,1,1,0.8333,0.9167,1,0.9444,0.9545,1,1,0.8333,1,0.875,0.9545,1,1,1,0.875,1,1,0.8333,0.95,0.95,0.9545,1
"locus1746",0.9167,1,1,1,1,0.9167,1,0.6429,1,0.9375,1,0.875,1,1,0.9583,0.9545,0.8889,1,1,1,0.9286,1,1,0.95,0.9091,0.8571
"locus1747",0,0.0625,0.2778,0,0,0,0,0.0556,0.0909,0,0.1364,0,0,0.125,0.2273,0.05,0.0556,0.1667,0.0625,0,0.0714,0.0455,0.05,0.15,0,0.0455
"locus1748",0.9583,1,1,0.9091,1,0.9583,1,1,1,0.9375,0.85,1,0.875,1,0.9167,1,0.9444,1,1,1,1,0.75,0.95,0.95,0.9545,1
"locus1749",0.8333,1,0.95,0.9545,1,1,1,1,0.8636,1,1,1,1,0.8125,1,1,0.9444,1,0.9375,0.9444,1,0.7222,0.95,1,0.8636,1
"locus1750",0.9583,1,0.9,0.8636,1,1,1,1,0.9545,1,1,1,1,1,1,1,0.8125,1,1,1,1,1,0.95,1,0.9545,1
"locus1751",1,0.9375,0.95,1,1,1,1,1,1,1,0.9,0.9375,0.85,0.875,0.9583,1,1,0.8333,1,1,1,1,1,1,0.9545,1
"locus1752",1,1,1,0.95,1,0.8182,1,1,1,1,0.8636,1,1,1,1,0.9091,1,1,1,1,1,1,1,0.9444,1,1
"locus1753",0.7083,0.9167,0.85,0.5,0.9444,0.9167,1,0.8333,0.6818,0.6429,1,0.8571,1,0.75,0.875,0.9545,0.6667,1,0.75,0.5,1,0.9,0.55,0.6667,0.9091,0.9167
"locus1754",0.9583,0.8125,1,0.9091,0.8333,0.9167,1,0.9444,1,0.875,0.9,1,1,0.9375,1,1,1,1,1,0.9444,1,0.9545,1,1,0.9091,0.9583
"locus1755",0.0625,0.125,0.0714,0.0909,0,0.0833,0.8333,0,0.4091,0.0833,0,0,0.05,0,0,0.5,0.2143,0,0.2,0.5,0.25,0,0,0,0.35,0.3333
"locus1756",1,0.9375,1,1,0.8333,0.875,1,1,1,1,0.65,1,0.7778,1,0.9583,1,1,1,0.9375,1,1,1,0.85,1,0.95,1
"locus1757",0.0417,0,0.05,0,0,0.125,NA,0.1667,0.0455,0,0.0455,0,0,0,0.0417,0.5,0,0,0,0.0556,0,0,0,0,0,0.0417
"locus1758",1,1,1,1,1,1,1,0.7222,0.8636,1,1,1,1,0.9375,0.9583,1,1,0.5,1,1,1,0.9545,1,0.95,1,0.8
"locus1759",0.0455,0.2,0.25,0.3636,NA,0.6875,0,0.5625,0.0556,0.125,0.8333,0.375,1,0.2143,0.4,0.0455,0.1111,0,0.1429,0.0556,0.4286,0.0909,0.45,0.4,0.0556,0.5556
"locus1760",0.8,0.6,0.7,0.5,0.3571,0.1667,1,0.5,0.9,1,0.2778,0.5,0.2143,1,0.75,1,1,0.6667,0.6429,0.8889,0.75,0.7778,1,0.5556,0.4286,0.55
"locus1761",0.75,1,0.95,1,1,1,0.8333,0.9444,1,0.875,1,0.9375,1,1,1,0.8125,0.9286,0.8333,1,0.9444,1,0.8636,0.85,1,0.9545,1
"locus1762",0.95,1,1,0.625,1,1,1,1,1,1,1,1,1,1,0.9583,1,0.9375,1,0.9375,1,1,1,0.8333,1,1,0.9583
"locus1763",0.9583,1,1,0.8182,0.9375,0.9583,1,0.75,1,0.9375,0.9091,0.8125,1,1,0.75,1,0.7778,1,1,0.9444,0.8571,0.75,0.9,0.9444,0.9545,0.9583
"locus1764",0.9583,1,0.95,0.8636,0.9444,1,1,1,0.9545,1,1,0.9375,1,1,0.9583,1,0.8889,1,1,1,1,0.85,1,1,1,1
"locus1765",0.7273,0.9286,1,0.8636,1,1,1,1,1,1,0.9545,1,0.95,0.9375,1,1,0.875,1,1,1,1,1,0.95,0.95,1,1
"locus1766",0.3333,0.1667,0.5,0.1429,0.0714,0.1364,0.9,0.1111,0.3333,0.7,0.1364,0,0,0.375,0.25,0.95,0.3333,0,0.3333,0.375,0,0.1,0,0.25,0.1667,0.2273
"locus1767",0.5,0.875,0.4444,0.5,0.9167,1,1,0.8333,0.5714,0.5,0.85,0.6429,0.3333,0.6,0.5,0.55,0.2778,0.5,0.5,0.4,0.9167,0.5625,0.4286,0.6,0.55,0.9545
"locus1768",1,1,1,1,0.9444,1,1,0.8889,1,0.9375,1,0.7857,1,1,0.8333,1,1,1,1,1,0.8571,1,1,1,1,0.9545
"locus1769",1,1,1,1,1,1,1,1,0.9545,1,1,1,1,1,1,1,0.9444,0.8333,0.8125,1,1,0.9545,0.9,1,0.6818,1
"locus1770",0.9167,1,1,0.8636,0.8333,1,1,0.8333,1,1,1,1,0.9,1,1,1,0.9444,1,1,0.9444,1,1,0.95,1,0.9545,0.9583
"locus1771",0,0,0,0.0455,0.1667,0,0,0.2222,0,0,0,0.0625,0,0,0,0,0,0,0.0625,0,0,0.4545,0,0,0,0.2917
"locus1772",0.9,1,0.9375,0.95,0.9444,1,1,0.9444,0.8333,1,1,0.9286,1,0.8,0.7778,0.9545,0.9375,0.8333,0.7857,0.875,0.8571,0.9545,1,0.9,0.8182,0.9091
"locus1773",0.2083,0.5,0.5625,0.2,0.1667,0.2222,0.1,0.1429,0.5,0.25,0.6875,0.7,0.3333,0.3333,0.6364,0.0455,0.375,0.6667,0.5,0.5625,0.7,0.5909,0.55,0.45,0.25,0.3571
"locus1774",1,1,0.9,1,1,0.9583,0.25,1,1,0.9375,0.9545,1,1,1,1,0.8333,1,1,1,1,1,1,0.95,1,1,1
"locus1775",1,0.9375,1,0.8,1,0.7917,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9545,1,0.95,1,1
"locus1776",1,1,1,0.8636,0.9444,1,1,1,1,0.875,1,1,1,1,1,1,1,1,1,1,1,1,0.85,1,0.9091,0.8182
"locus1777",0.7727,0.5,0.7,0.8889,1,0.9091,1,0.6,0.5455,0.9375,0.95,0.3,1,0.5714,0.55,1,0.9375,0.6667,0.6667,0.8,0.5,0.85,0.5556,0.5556,0.8,0.85
"locus1778",0.9583,1,1,1,1,0.9583,1,1,0.9545,1,0.9091,1,0.95,0.7857,0.9167,1,1,1,1,0.8333,1,0.9545,1,0.95,1,1
"locus1779",0.9583,1,1,0.8636,1,1,1,1,1,0.9375,1,0.9375,1,1,1,1,1,1,1,0.9444,0.9286,0.9091,0.85,1,0.8636,1
"locus1780",0.7917,0.875,0.95,0.9091,1,0.8333,1,0.8889,0.7727,0.9286,0.8636,0.9375,1,0.8125,0.75,1,1,0.8333,0.875,0.7778,0.8571,0.9545,0.85,0.75,1,0.7083
"locus1781",0.75,0.75,0.8889,1,0.7143,0.5,1,0.8125,0.9,0.8333,0.875,0.6667,0.5625,0.8571,0.9583,0.7727,0.8125,1,0.8333,0.9286,0.7143,0.8,0.8333,0.7778,0.6818,0.9091
"locus1782",0,0.3,0.3889,0.0455,0.2143,0.4444,0,0.3125,0.3182,0.0714,0.55,0.2,0.55,0.4,0.3333,0.0455,0,0.5,0.5,0.1667,0.3333,0.2273,0.1,0.4,0.3125,0.3
"locus1783",0.0833,0,0.05,0,0.2222,0.0833,0,0,0,0,0.05,0,0.4167,0.0625,0.2083,0,0,0,0.0625,0.0556,0.0714,0,0.05,0.0556,0.0455,0
"locus1784",0.875,1,0.9444,1,0.9444,0.9583,1,0.8889,0.8,1,0.8636,0.875,0.95,0.8333,0.9,0.9091,1,1,1,0.5556,0.9286,0.9091,1,0.7778,0.9545,0.875
"locus1785",1,0.9375,1,1,0.5,1,1,0.375,1,1,1,0.9286,NA,0.9375,1,0.9545,1,1,1,1,0.6,0.9545,1,1,0.7778,0.2083
"locus1786",1,0.75,1,1,1,0.9375,1,1,1,1,0.7,1,0.625,1,0.9583,1,1,1,1,1,1,1,1,1,1,0.9167
"locus1787",0.4545,0.625,0.5714,0.3889,0.6667,0.5455,0.5,0.3889,0.6818,0.6875,0.5556,0.5,0.9,0.5,0.65,0.7,0.5,0.5,0.625,0.3333,0.5,0.2143,0.6667,0.6111,0.3636,0.5
"locus1788",0.9583,1,1,0.9091,1,1,1,0.9444,1,1,1,0.9375,1,1,0.9583,0.9545,0.9444,0.6667,1,1,1,0.75,0.7778,1,1,1
"locus1789",1,0.9375,1,1,1,0.875,1,0.8889,1,0.9375,1,1,0.9,1,0.9583,0.9545,1,1,0.9375,1,0.9286,1,1,1,0.9545,0.8636
"locus1790",1,0.875,0.95,1,1,1,1,1,1,0.9375,1,1,0.9,1,1,0.9545,1,1,1,1,0.9286,0.9545,1,0.625,1,0.9583
"locus1791",0.8889,0.8125,1,1,1,0.9583,1,1,0.9,0.7857,0.9545,1,1,0.9375,0.9583,0.85,0.9444,1,0.9375,1,0.9286,0.8,0.7,0.9,0.9091,0.9583
"locus1792",1,0.9375,0.95,1,1,1,1,0.9444,1,1,0.85,1,0.9,1,0.9583,1,1,1,0.9375,1,1,1,0.95,1,1,0.9583
"locus1793",1,1,1,1,1,0.7273,1,1,1,1,0.7273,1,0.75,0.9375,1,1,1,1,1,1,1,1,1,0.95,0.7273,0.9583
"locus1794",0.875,0.9286,1,0.9545,1,0.9091,1,0.9444,0.9545,0.8125,0.9545,0.9375,1,0.9375,0.8636,0.9545,1,1,0.6875,0.8333,0.9286,1,1,0.8,1,0.9583
"locus1795",0.45,0.1667,0.3,0.2778,0.1667,0.25,0.1667,0.3571,0.5,0.125,0,0.25,0.375,0.3125,0.4091,0.1364,0.4375,0.5,0.375,0.375,0.1667,0.3333,0.5,0.125,0.2222,0.05
"locus1796",1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,0.9545,1,1,0.9375,1,0.9286,1,1,1,1,0.3333
"locus1797",0.9583,1,1,1,0.9444,1,1,0.9444,1,1,1,1,1,1,0.9583,1,1,0.8333,1,0.9444,1,0.6429,0.9444,1,1,1
"locus1798",0.7727,0.7857,0.85,0.8,0.75,0.8182,1,0.9375,0.7273,0.9375,0.8333,0.875,0.9444,0.9375,0.8182,0.9545,0.8125,1,0.75,0.8889,0.9286,0.5455,0.8,0.6111,0.9286,0.85
"locus1799",0.9583,0.9375,0.9,0.9,1,0.875,0.8,0.8889,0.9545,1,1,0.8571,0.95,1,0.9167,1,1,0.8333,0.8125,0.9444,0.8333,0.75,1,0.95,0.7273,0.9375
"locus1800",0.9583,0.9375,0.9,1,1,1,1,0.8889,0.8,1,1,0.9375,0.8333,0.9375,1,1,1,0.8333,0.8571,1,1,1,0.95,0.85,1,1
"locus1801",0,0.1875,0,0,0,0.0833,0,0,0.0455,0,0,0,0,0.0625,0.0833,0.0455,0,0,0.0625,0,0,0.0455,0.15,0,0,0
"locus1802",0.875,0.75,0.8125,0.6667,NA,0.8,0.3,0.4286,0.6111,0.4286,0.7143,1,0.6111,0.5625,0.7727,0.5,0.7222,0.3333,0.7857,0.6429,0.8333,0.75,0.6,0.7222,0.9286,0.75
"locus1803",0.5909,0.5,0.5,0.5556,0.3125,0.6364,1,0.5,0.3125,0.5714,0.6,0.6,0.4375,0.7857,0.5,0.85,0.375,0.5,0.625,0.6667,0.375,0.5,0.5,0.5714,0.6,0.35
"locus1804",0.1,0.125,0,0.0909,0,0.0833,1,0,0.0625,0.0714,0.0455,0,0,0.0714,0,0.75,0.3571,0,0.0625,0.4,0,0.45,0,0.1,0,0
"locus1805",1,1,1,0.9,1,1,1,1,0.9545,1,1,1,1,1,1,1,0.8333,1,1,0.7778,1,1,0.85,1,1,1
"locus1806",0.5,0.5,0.7778,0.75,1,0.875,0,0.9286,0.75,0.375,0.85,0.875,0.75,0.5,0.7,0.0909,0.5714,1,0.6,0.375,0.9,1,0.6667,0.8125,0.5714,0.7273
